fulldate,DateID,week day,Month ID,Month Discription,Year ID,Quarter ID,month_ind,year_ind
2017-04-16,20170416,6,4,April,2017,2,0,0
2017-04-17,20170417,0,4,April,2017,2,0,0
2017-04-18,20170418,1,4,April,2017,2,0,0
2017-04-19,20170419,2,4,April,2017,2,0,0
2017-04-20,20170420,3,4,April,2017,2,0,0
2017-04-21,20170421,4,4,April,2017,2,0,0
2017-04-22,20170422,5,4,April,2017,2,0,0
2017-04-23,20170423,6,4,April,2017,2,0,0
2017-04-24,20170424,0,4,April,2017,2,0,0
2017-04-25,20170425,1,4,April,2017,2,0,0
2017-04-26,20170426,2,4,April,2017,2,0,0
2017-04-27,20170427,3,4,April,2017,2,0,0
2017-04-28,20170428,4,4,April,2017,2,0,0
2017-04-29,20170429,5,4,April,2017,2,0,0
2017-04-30,20170430,6,4,April,2017,2,0,0
2017-05-01,20170501,0,5,May,2017,2,0,0
2017-05-02,20170502,1,5,May,2017,2,0,0
2017-05-03,20170503,2,5,May,2017,2,0,0
2017-05-04,20170504,3,5,May,2017,2,0,0
2017-05-05,20170505,4,5,May,2017,2,0,0
2017-05-06,20170506,5,5,May,2017,2,0,0
2017-05-07,20170507,6,5,May,2017,2,0,0
2017-05-08,20170508,0,5,May,2017,2,0,0
2017-05-09,20170509,1,5,May,2017,2,0,0
2017-05-10,20170510,2,5,May,2017,2,0,0
2017-05-11,20170511,3,5,May,2017,2,0,0
2017-05-12,20170512,4,5,May,2017,2,0,0
2017-05-13,20170513,5,5,May,2017,2,0,0
2017-05-14,20170514,6,5,May,2017,2,0,0
2017-05-15,20170515,0,5,May,2017,2,0,0
2017-05-16,20170516,1,5,May,2017,2,0,0
2017-05-17,20170517,2,5,May,2017,2,0,0
2017-05-18,20170518,3,5,May,2017,2,0,0
2017-05-19,20170519,4,5,May,2017,2,0,0
2017-05-20,20170520,5,5,May,2017,2,0,0
2017-05-21,20170521,6,5,May,2017,2,0,0
2017-05-22,20170522,0,5,May,2017,2,0,0
2017-05-23,20170523,1,5,May,2017,2,0,0
2017-05-24,20170524,2,5,May,2017,2,0,0
2017-05-25,20170525,3,5,May,2017,2,0,0
